{'DATE/TIME': '20/12/2022 09:24:22', 'COI': 1020026, 'POI': 1183613, 'CALL CHNG OI': 162739, 'PUT CHNG OI': -27555, 'PCR': 1.1603753237662568, 'CHPCR': -0.16932019982917432, 'OI Difference': 163587}
{'DATE/TIME': '20/12/2022 09:27:23', 'COI': 1090577, 'POI': 1174427, 'CALL CHNG OI': 233290, 'PUT CHNG OI': -36741, 'PCR': 1.0768859053510207, 'CHPCR': -0.15749067683998458, 'OI Difference': 83850}
{'DATE/TIME': '20/12/2022 09:30:23', 'COI': 1128135, 'POI': 1154095, 'CALL CHNG OI': 270848, 'PUT CHNG OI': -57073, 'PCR': 1.0230114303695923, 'CHPCR': -0.21071966564272213, 'OI Difference': 25960}
{'DATE/TIME': '20/12/2022 09:33:24', 'COI': 1157425, 'POI': 1161231, 'CALL CHNG OI': 300138, 'PUT CHNG OI': -49937, 'PCR': 1.0032883340173229, 'CHPCR': -0.1663801318060359, 'OI Difference': 3806}
{'DATE/TIME': '20/12/2022 09:36:25', 'COI': 1198845, 'POI': 1125104, 'CALL CHNG OI': 341558, 'PUT CHNG OI': -86064, 'PCR': 0.9384899632563009, 'CHPCR': -0.2519747744160582, 'OI Difference': -73741}
{'DATE/TIME': '20/12/2022 09:39:25', 'COI': 1243701, 'POI': 1103404, 'CALL CHNG OI': 386414, 'PUT CHNG OI': -107764, 'PCR': 0.8871939477414588, 'CHPCR': -0.2788822351157049, 'OI Difference': -140297}
{'DATE/TIME': '20/12/2022 09:42:26', 'COI': 1308360, 'POI': 1081565, 'CALL CHNG OI': 451073, 'PUT CHNG OI': -129603, 'PCR': 0.8266570362897062, 'CHPCR': -0.2873215643587623, 'OI Difference': -226795}
{'DATE/TIME': '20/12/2022 09:45:27', 'COI': 1347174, 'POI': 1087826, 'CALL CHNG OI': 489887, 'PUT CHNG OI': -123342, 'PCR': 0.8074873772801435, 'CHPCR': -0.2517764300746907, 'OI Difference': -259348}
{'DATE/TIME': '20/12/2022 09:48:27', 'COI': 1373788, 'POI': 1079812, 'CALL CHNG OI': 516501, 'PUT CHNG OI': -131356, 'PCR': 0.7860106508427792, 'CHPCR': -0.25431896550055083, 'OI Difference': -293976}
{'DATE/TIME': '20/12/2022 09:51:28', 'COI': 1379373, 'POI': 1089699, 'CALL CHNG OI': 522086, 'PUT CHNG OI': -121469, 'PCR': 0.7899958894367224, 'CHPCR': -0.23266090260991484, 'OI Difference': -289674}
{'DATE/TIME': '20/12/2022 09:54:29', 'COI': 1379373, 'POI': 1089699, 'CALL CHNG OI': 522086, 'PUT CHNG OI': -121469, 'PCR': 0.7899958894367224, 'CHPCR': -0.23266090260991484, 'OI Difference': -289674}
{'DATE/TIME': '20/12/2022 09:57:29', 'COI': 1404098, 'POI': 1104866, 'CALL CHNG OI': 546811, 'PUT CHNG OI': -106302, 'PCR': 0.7868866703036398, 'CHPCR': -0.19440355076982724, 'OI Difference': -299232}
{'DATE/TIME': '20/12/2022 10:00:30', 'COI': 1404095, 'POI': 1104866, 'CALL CHNG OI': 546808, 'PUT CHNG OI': -106302, 'PCR': 0.7868883515716529, 'CHPCR': -0.19440461734283332, 'OI Difference': -299229}
{'DATE/TIME': '20/12/2022 10:03:30', 'COI': 1452073, 'POI': 1100176, 'CALL CHNG OI': 594786, 'PUT CHNG OI': -110992, 'PCR': 0.7576588780316141, 'CHPCR': -0.18660829273049467, 'OI Difference': -351897}
{'DATE/TIME': '21/12/2022 00:48:23', 'COI': 999413, 'POI': 1294530, 'CALL CHNG OI': 142126, 'PUT CHNG OI': 83362, 'PCR': 1.2952903354268956, 'CHPCR': 0.586535890688544, 'OI Difference': 295117}
{'DATE/TIME': '21/12/2022 00:48:48', 'COI': 1305529, 'POI': 1079214, 'CALL CHNG OI': 152269, 'PUT CHNG OI': 78720, 'PCR': 0.8266488143886501, 'CHPCR': 0.5169798186104854, 'OI Difference': -226315}
{'DATE/TIME': '21/12/2022 09:12:03', 'COI': 1305529, 'POI': 1079214, 'CALL CHNG OI': 152269, 'PUT CHNG OI': 78720, 'PCR': 0.8266488143886501, 'CHPCR': 0.5169798186104854, 'OI Difference': -226315}
{'DATE/TIME': '21/12/2022 09:12:33', 'COI': 1326241, 'POI': 1010068, 'CALL CHNG OI': 151338, 'PUT CHNG OI': 66629, 'PCR': 0.761602152248347, 'CHPCR': 0.44026615919332884, 'OI Difference': -316173}
{'DATE/TIME': '21/12/2022 09:16:42', 'COI': 1326241, 'POI': 1010068, 'CALL CHNG OI': 0, 'PUT CHNG OI': 0, 'PCR': 0.761602152248347, 'CHPCR': nan, 'OI Difference': -316173}
{'DATE/TIME': '21/12/2022 09:18:43', 'COI': 1326241, 'POI': 1010068, 'CALL CHNG OI': 0, 'PUT CHNG OI': 0, 'PCR': 0.761602152248347, 'CHPCR': nan, 'OI Difference': -316173}
{'DATE/TIME': '21/12/2022 09:20:43', 'COI': 1413158, 'POI': 1088187, 'CALL CHNG OI': 86917, 'PUT CHNG OI': 78119, 'PCR': 0.7700391605184983, 'CHPCR': 0.8987769941438384, 'OI Difference': -324971}
{'DATE/TIME': '21/12/2022 09:22:44', 'COI': 1413158, 'POI': 1088187, 'CALL CHNG OI': 86917, 'PUT CHNG OI': 78119, 'PCR': 0.7700391605184983, 'CHPCR': 0.8987769941438384, 'OI Difference': -324971}
{'DATE/TIME': '21/12/2022 09:24:45', 'COI': 1496495, 'POI': 1205071, 'CALL CHNG OI': 170254, 'PUT CHNG OI': 195003, 'PCR': 0.8052622962321959, 'CHPCR': 1.1453651602899197, 'OI Difference': -291424}
{'DATE/TIME': '21/12/2022 09:26:45', 'COI': 1546237, 'POI': 1266657, 'CALL CHNG OI': 219996, 'PUT CHNG OI': 256589, 'PCR': 0.8191868387575773, 'CHPCR': 1.1663348424516808, 'OI Difference': -279580}
{'DATE/TIME': '21/12/2022 09:28:46', 'COI': 1546237, 'POI': 1266657, 'CALL CHNG OI': 219996, 'PUT CHNG OI': 256589, 'PCR': 0.8191868387575773, 'CHPCR': 1.1663348424516808, 'OI Difference': -279580}
{'DATE/TIME': '21/12/2022 09:30:47', 'COI': 1577554, 'POI': 1310871, 'CALL CHNG OI': 251313, 'PUT CHNG OI': 300803, 'PCR': 0.8309515870772094, 'CHPCR': 1.196925745982102, 'OI Difference': -266683}
{'DATE/TIME': '21/12/2022 09:32:47', 'COI': 1607809, 'POI': 1353976, 'CALL CHNG OI': 281568, 'PUT CHNG OI': 343908, 'PCR': 0.8421249041397331, 'CHPCR': 1.2214030003409477, 'OI Difference': -253833}
{'DATE/TIME': '21/12/2022 09:34:48', 'COI': 1607809, 'POI': 1353976, 'CALL CHNG OI': 281568, 'PUT CHNG OI': 343908, 'PCR': 0.8421249041397331, 'CHPCR': 1.2214030003409477, 'OI Difference': -253833}
{'DATE/TIME': '21/12/2022 09:36:48', 'COI': 1635965, 'POI': 1385198, 'CALL CHNG OI': 309724, 'PUT CHNG OI': 375130, 'PCR': 0.846716158353021, 'CHPCR': 1.211175110743759, 'OI Difference': -250767}
{'DATE/TIME': '21/12/2022 09:38:49', 'COI': 1672099, 'POI': 1366679, 'CALL CHNG OI': 345858, 'PUT CHNG OI': 356611, 'PCR': 0.817343351081485, 'CHPCR': 1.0310907944879113, 'OI Difference': -305420}
{'DATE/TIME': '21/12/2022 09:40:50', 'COI': 1672095, 'POI': 1366679, 'CALL CHNG OI': 345854, 'PUT CHNG OI': 356611, 'PCR': 0.8173453063372595, 'CHPCR': 1.0311027196447056, 'OI Difference': -305416}
{'DATE/TIME': '21/12/2022 09:42:50', 'COI': 1696566, 'POI': 1389634, 'CALL CHNG OI': 370325, 'PUT CHNG OI': 379566, 'PCR': 0.8190863190704045, 'CHPCR': 1.0249537568352123, 'OI Difference': -306932}
{'DATE/TIME': '23/12/2022 09:13:42', 'COI': 1494034, 'POI': 583519, 'CALL CHNG OI': -450564, 'PUT CHNG OI': -142871, 'PCR': 0.3905660781481546, 'CHPCR': 0.31709368702337515, 'OI Difference': -910515}
